Date,Word,% Monitored Articles
3/20/21,refugee/refugees,0.0072
3/21/21,refugee/refugees,0.0137
3/22/21,refugee/refugees,0.0182
3/23/21,refugee/refugees,0.0131
3/24/21,refugee/refugees,0.0121
3/25/21,refugee/refugees,0.0254
3/26/21,refugee/refugees,0.0128
3/27/21,refugee/refugees,0.0135
3/28/21,refugee/refugees,0.0123
3/29/21,refugee/refugees,0.0128
3/30/21,refugee/refugees,0.0137
3/31/21,refugee/refugees,0.0153
4/1/21,refugee/refugees,0.0102
4/2/21,refugee/refugees,0.0165
4/3/21,refugee/refugees,0.0094
4/4/21,refugee/refugees,0.1158
4/5/21,refugee/refugees,0.0232
4/6/21,refugee/refugees,0.0169
4/7/21,refugee/refugees,0.0162
4/8/21,refugee/refugees,0.0235
4/9/21,refugee/refugees,0.0136
4/10/21,refugee/refugees,0.015
4/11/21,refugee/refugees,0.0234
4/12/21,refugee/refugees,0.0192
4/13/21,refugee/refugees,0.0218
4/14/21,refugee/refugees,0.0321
4/15/21,refugee/refugees,0.0245
4/16/21,refugee/refugees,0.034
4/17/21,refugee/refugees,0.0367
4/18/21,refugee/refugees,0.0314
4/19/21,refugee/refugees,0.0254
4/20/21,refugee/refugees,0.0308
4/21/21,refugee/refugees,0.0191
4/22/21,refugee/refugees,0.0149
4/23/21,refugee/refugees,0.0108
4/24/21,refugee/refugees,0.0134
4/25/21,refugee/refugees,0.0184
